Date,Open,High,Low,Close,Adj Close,Volume
05-04-2022,14490.25977,14500.29004,14169.12012,14204.16992,14204.16992,4707090000
04-04-2022,14304.34961,14534.37988,14286.4502,14532.54981,14532.54981,4598480000
01-04-2022,14269.53027,14306.94043,14131.80957,14261.5,14261.5,4984050000
31-03-2022,14444.78027,14456.74023,14217.71973,14220.51953,14220.51953,5427030000
30-03-2022,14558.58984,14609.25,14383.4502,14442.26953,14442.26953,5439980000
29-03-2022,14500.38965,14646.90039,14419.40039,14619.63965,14619.63965,6031870000
28-03-2022,14177.20996,14356.0,14101.33984,14354.90039,14354.90039,5086120000
25-03-2022,14194.71973,14218.75977,14010.79004,14169.29981,14169.29981,5553860000
24-03-2022,14001.32031,14193.54981,13897.2002,14191.83984,14191.83984,5046250000
23-03-2022,13990.34961,14152.13965,13921.65039,13922.59961,13922.59961,4995470000
22-03-2022,13866.42969,14141.07031,13857.29004,14108.82031,14108.82031,5400360000
21-03-2022,13860.38965,13945.80957,13682.54981,13838.45996,13838.45996,5636000000
18-03-2022,13564.62988,13899.28027,13528.05957,13893.83984,13893.83984,8109950000
17-03-2022,13360.71973,13620.79981,13317.13965,13614.78027,13614.78027,5575030000
16-03-2022,13119.37012,13440.12012,12992.2002,13436.54981,13436.54981,6498110000
15-03-2022,12685.23047,12973.87988,12616.58984,12948.62012,12948.62012,5414590000
14-03-2022,12795.12012,12918.00977,12555.34961,12581.21973,12581.21973,5853360000
11-03-2022,13229.76953,13239.34961,12830.37012,12843.80957,12843.80957,5250230000
10-03-2022,13098.34961,13163.5,12946.28027,13129.95996,13129.95996,5034030000
09-03-2022,13113.7002,13301.16016,13039.79004,13255.54981,13255.54981,5377120000
08-03-2022,12800.04004,13159.44043,12670.08008,12795.54981,12795.54981,6631820000
07-03-2022,13328.36035,13353.28027,12828.01953,12830.95996,12830.95996,6163580000
04-03-2022,13455.23047,13486.70996,13224.98047,13313.44043,13313.44043,5319630000
03-03-2022,13837.58984,13837.58984,13472.63965,13537.94043,13537.94043,5058590000
02-03-2022,13597.53027,13796.54981,13493.91016,13752.01953,13752.01953,5229480000
01-03-2022,13716.7002,13777.04004,13441.32031,13532.45996,13532.45996,6094490000
28-02-2022,13570.83008,13810.63965,13549.90039,13751.40039,13751.40039,5894130000
25-02-2022,13485.25977,13696.86035,13358.29004,13694.62012,13694.62012,4614110000
24-02-2022,12587.87988,13486.11035,12587.87988,13473.58984,13473.58984,6131410000
23-02-2022,13511.75,13533.78027,13032.16992,13037.49023,13037.49023,4614090000
22-02-2022,13424.36035,13618.71973,13249.65039,13381.51953,13381.51953,4830920000
18-02-2022,13735.40039,13762.40039,13465.55957,13548.07031,13548.07031,4475010000
17-02-2022,14004.19043,14020.82031,13704.7002,13716.71973,13716.71973,4259890000
16-02-2022,14038.91992,14163.73047,13931.99023,14124.08984,14124.08984,4224060000
15-02-2022,13997.17969,14142.49023,13976.29004,14139.75977,14139.75977,4393050000
14-02-2022,13768.96973,13921.70996,13664.75977,13790.91992,13790.91992,4301470000
11-02-2022,14213.62012,14246.7002,13733.16016,13791.15039,13791.15039,5222590000
10-02-2022,14228.67969,14509.55957,14118.2002,14185.63965,14185.63965,5191050000
09-02-2022,14368.16016,14490.71973,14330.87012,14490.37012,14490.37012,4713210000
08-02-2022,13984.42969,14226.48047,13934.78027,14194.4502,14194.4502,4277150000
07-02-2022,14118.79004,14236.30957,13974.09961,14015.66992,14015.66992,4253020000
04-02-2022,13958.48047,14222.75977,13850.38965,14098.00977,14098.00977,4104120000
03-02-2022,14045.83008,14207.88965,13851.74023,13878.82031,13878.82031,4306490000
02-02-2022,14494.46973,14504.82031,14264.65039,14417.54981,14417.54981,4647630000
01-02-2022,14277.42969,14358.69043,14070.76953,14346.0,14346.0,4650460000
31-01-2022,13812.19043,14242.90039,13767.70996,14239.87988,14239.87988,5111460000
28-01-2022,13436.70996,13771.91016,13236.55957,13770.57031,13770.57031,4955960000
27-01-2022,13710.99023,13765.91016,13322.66016,13352.78027,13352.78027,5155970000
26-01-2022,13871.76953,14002.65039,13392.19043,13542.12012,13542.12012,5734390000
25-01-2022,13610.87012,13781.62012,13414.13965,13539.29004,13539.29004,4981070000
